Model,Accuracy,Precision,Recall,F1_score,AUC_ROC
Logistic Regression (Tuned),0.7692307692307693,0.7641509433962265,0.9759036144578314,0.8571428571428571,0.8561304039688166
Decision Tree (Tuned),0.6837606837606838,0.7211538461538461,0.9036144578313252,0.8021390374331551,0.7175761871013465
Random Forest (Tuned),0.7521367521367521,0.7596153846153846,0.9518072289156626,0.8449197860962567,0.770375620127569
