Model,Accuracy,F1_Score,Precision,Recall,AUC_ROC,Tree_Depth,Overfitting_Gap
Baseline_DT,0.5470085470085471,0.6863905325443787,0.6744186046511628,0.6987951807228916,0.4376328844790929,20,0.45299145299145294
Tuned_DT,0.6837606837606838,0.8021390374331551,0.7211538461538461,0.9036144578313253,0.7175761871013465,3,0.056582663878801176
