Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Baseline_Logistic_Regression,0.7606837606837606,0.7619047619047619,0.963855421686747,0.851063829787234,0.8532955350815025
Tuned_Logistic_Regression,0.7692307692307693,0.7641509433962265,0.9759036144578314,0.8571428571428571,0.8561304039688166
