Metric,Baseline_LR,Tuned_LR,Improvement
Accuracy,0.7606837606837606,0.7692307692307693,0.008547008547008628
Precision,0.7619047619047619,0.7641509433962265,0.002246181491464605
Recall,0.963855421686747,0.9759036144578314,0.012048192771084376
F1-Score,0.851063829787234,0.8571428571428571,0.006079027355623046
AUC-ROC,0.8532955350815025,0.8561304039688166,0.0028348688873141015
Training Accuracy,N/A,0.7296137339055794,0.7296137339055794
Overfitting Gap,N/A,-0.0396170353251899,-0.0396170353251899
