Metric,Baseline_RF,Tuned_RF,Improvement
Accuracy,0.7350427350427351,0.7521367521367521,0.017094017094017033
Precision,0.76,0.7596153846153846,-0.00038461538461542766
Recall,0.9156626506024096,0.9518072289156626,0.03614457831325302
F1-Score,0.8306010928961749,0.8449197860962567,0.014318693200081833
AUC-ROC,0.7622253720765415,0.770375620127569,0.008150248051027487
Training Accuracy,1.0,0.9592274678111588,-0.04077253218884125
Overfitting Gap,0.2649572649572649,0.20709071567440662,-0.05786654928285828
