Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC
Baseline_RF,0.7350427350427351,0.76,0.9156626506024096,0.8306010928961749,0.7622253720765415
Tuned_RF,0.7521367521367521,0.7596153846153846,0.9518072289156626,0.8449197860962567,0.770375620127569
