Feature,Importance
Alkaline_Phosphotase,0.14871215188957243
Aspartate_Aminotransferase,0.14522489131463132
Age,0.1405148152428966
Alamine_Aminotransferase,0.12981214406205718
Total_Bilirubin,0.10932728300698757
Albumin,0.08430517272796428
Total_Protiens,0.08119916124267106
Direct_Bilirubin,0.07979279433426703
Albumin_and_Globulin_Ratio,0.07040864440684533
Gender,0.010702941772107115
